date,Merchant,Barges,Other,Tugs,Tanker,Fishing,Pleasure Crafts,Excursion
2021-07-10,3275,112,4,369,817,140,62,362
2021-07-20,3507,120,1,363,776,182,94,407
2021-07-30,3971,122,11,418,929,192,112,531
2021-08-10,3497,116,1,314,789,208,116,424
2021-08-20,3460,122,6,327,769,232,123,473
2021-08-30,3742,112,14,336,937,243,110,487
2021-09-10,3541,111,24,313,828,208,74,429
2021-09-20,3638,106,16,342,673,180,118,415
2021-09-30,3384,74,2,375,774,221,88,266
2021-10-10,3471,69,3,338,847,202,60,273
2021-10-20,3511,93,2,340,797,191,38,153
2021-10-30,4035,98,6,357,790,243,17,102
2021-11-10,3383,75,14,312,743,159,6,12
2021-11-20,3241,78,14,308,793,157,12,8
2021-11-30,3440,68,7,303,813,144,2,6
2021-12-10,3443,120,12,255,798,113,2,9
2021-12-20,3450,84,0,235,828,140,1,16
2021-12-30,3415,41,0,239,842,93,1,4
2022-01-10,862,0,0,9,197,2,0,0
2022-01-20,100,0,0,0,7,0,0,0
2022-01-30,48,0,0,0,0,0,0,0
2022-02-10,10,0,0,0,0,0,0,0
2022-02-20,6,0,0,0,0,0,0,0
